epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,72.6253,2.43537,5.38273,4.94841,0.01907,7.73979,0.29286,0.22944,0.16694,0.11614,0.28269,0.22222,0.16014,0.09729,1.65544,4.01716,4.07543,0.01674,0,4.852e-05,4.852e-05,4.852e-05
28,75.163,2.06187,4.28641,4.08948,0.01584,5.98467,0.28481,0.2482,0.1821,0.12626,0.2779,0.24242,0.17749,0.10452,1.65807,3.98217,3.97444,0.01683,0,4.654e-05,4.654e-05,4.654e-05
29,77.8361,2.1197,5.17872,5.00228,0.01875,8.09087,0.28481,0.2482,0.1821,0.12626,0.2779,0.24242,0.17749,0.10452,1.65807,3.98217,3.97444,0.01683,0,4.456e-05,4.456e-05,4.456e-05
30,80.3684,2.28675,4.6576,4.45346,0.01785,7.22022,0.28481,0.2482,0.1821,0.12626,0.2779,0.24242,0.17749,0.10452,1.65807,3.98217,3.97444,0.01683,0,4.258e-05,4.258e-05,4.258e-05
31,82.9204,2.08356,4.45942,4.42255,0.01865,7.43598,0.2583,0.29004,0.18122,0.1245,0.25316,0.28427,0.17594,0.10447,1.65838,3.95231,3.92165,0.01687,0,4.06e-05,4.06e-05,4.06e-05
32,85.414,2.27549,4.59547,4.40704,0.01976,7.42464,0.2583,0.29004,0.18122,0.1245,0.25316,0.28427,0.17594,0.10447,1.65838,3.95231,3.92165,0.01687,0,3.862e-05,3.862e-05,3.862e-05
33,87.9193,1.89661,4.04225,3.79828,0.01496,6.65429,0.2583,0.29004,0.18122,0.1245,0.25316,0.28427,0.17594,0.10447,1.65838,3.95231,3.92165,0.01687,0,3.664e-05,3.664e-05,3.664e-05
34,90.438,2.09254,4.4932,4.58257,0.01806,7.28728,0.26069,0.30303,0.18924,0.1291,0.26622,0.27994,0.18349,0.10921,1.65665,3.86162,3.86969,0.01678,0,3.466e-05,3.466e-05,3.466e-05
35,93.1083,1.99902,4.03719,3.67219,0.0135,5.96194,0.26069,0.30303,0.18924,0.1291,0.26622,0.27994,0.18349,0.10921,1.65665,3.86162,3.86969,0.01678,0,3.268e-05,3.268e-05,3.268e-05
36,95.6855,2.32319,5.02895,4.33612,0.02178,6.62864,0.26069,0.30303,0.18924,0.1291,0.26622,0.27994,0.18349,0.10921,1.65665,3.86162,3.86969,0.01678,0,3.07e-05,3.07e-05,3.07e-05
