epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,154.197,0.4322,0.28436,0.30168,0.0034,0.07235,0.94832,0.95161,0.97781,0.90138,0.93264,0.94355,0.97558,0.94252,0.45581,0.22303,0.3826,0.00517,0,0.0014654,0.0014654,0.0014654
29,159.249,0.43803,0.33793,0.30591,0.00333,0.06144,0.95613,0.94355,0.9838,0.86854,0.95613,0.94355,0.97797,0.93411,0.53678,0.37702,0.40615,0.00641,0,0.0014456,0.0014456,0.0014456
30,164.257,0.45468,0.29457,0.30904,0.00334,0.07711,0.96584,0.91201,0.97027,0.88501,0.96584,0.91201,0.97014,0.89249,0.46824,0.2928,0.38392,0.00561,0,0.0014258,0.0014258,0.0014258
31,169.309,0.42601,0.32891,0.28909,0.00317,0.06832,0.95091,0.9373,0.9634,0.87997,0.95091,0.9373,0.97222,0.89614,0.48135,0.39478,0.4428,0.00582,0,0.001406,0.001406,0.001406
32,174.39,0.40953,0.29934,0.26812,0.00296,0.062,0.96294,0.91935,0.98003,0.91683,0.96294,0.91935,0.98031,0.903,0.42946,0.26916,0.31541,0.00485,0,0.0013862,0.0013862,0.0013862
33,179.471,0.41373,0.27892,0.25356,0.00272,0.06031,0.91964,0.96774,0.98336,0.90989,0.91853,0.96774,0.98535,0.91176,0.4033,0.21753,0.31589,0.00401,0,0.0013664,0.0013664,0.0013664
34,184.548,0.40578,0.27351,0.25743,0.00274,0.06354,0.99021,0.92742,0.98808,0.89162,0.99021,0.92742,0.98808,0.91144,0.48474,0.24941,0.28595,0.00505,0,0.0013466,0.0013466,0.0013466
35,189.692,0.39617,0.25995,0.2479,0.00281,0.05263,0.95548,0.94355,0.98604,0.94143,0.95548,0.94355,0.98702,0.92375,0.36105,0.2132,0.26529,0.00338,0,0.0013268,0.0013268,0.0013268
36,194.829,0.38559,0.30017,0.25101,0.00261,0.0712,0.98255,0.90795,0.98648,0.93518,0.98255,0.90795,0.98648,0.94331,0.35849,0.23115,0.28659,0.00385,0,0.001307,0.001307,0.001307
37,200.069,0.35976,0.2652,0.24231,0.00243,0.06424,0.93666,0.96774,0.98706,0.94061,0.93666,0.96774,0.98706,0.94217,0.36945,0.25988,0.2826,0.00387,0,0.0012872,0.0012872,0.0012872
38,205.143,0.38278,0.29764,0.23783,0.00252,0.04826,0.99844,0.95968,0.98757,0.95099,0.99844,0.95968,0.98926,0.93549,0.3272,0.24885,0.25294,0.00353,0,0.0012674,0.0012674,0.0012674
39,210.317,0.3467,0.28864,0.23431,0.00237,0.05595,0.93967,0.92742,0.97939,0.94198,0.93967,0.92742,0.98358,0.94112,0.33072,0.23314,0.30811,0.0031,0,0.0012476,0.0012476,0.0012476
40,215.519,0.37431,0.30476,0.25372,0.00246,0.05311,0.97289,0.92742,0.98315,0.92184,0.9417,0.95968,0.98629,0.91139,0.40571,0.23249,0.32011,0.0038,0,0.0012278,0.0012278,0.0012278
41,220.695,0.35289,0.25963,0.24121,0.00244,0.06443,0.96932,0.92742,0.98771,0.93647,0.96932,0.92742,0.98895,0.90155,0.38784,0.25136,0.27131,0.00392,0,0.001208,0.001208,0.001208
42,225.776,0.37306,0.28076,0.2315,0.00242,0.05895,0.99373,0.93548,0.9916,0.94683,0.99373,0.93548,0.9916,0.92463,0.33559,0.20178,0.2239,0.00316,0,0.0011882,0.0011882,0.0011882
43,230.892,0.35407,0.2614,0.21609,0.00257,0.0546,0.95819,0.96774,0.99062,0.93575,0.95819,0.96774,0.99062,0.93716,0.36941,0.30912,0.22693,0.0038,0,0.0011684,0.0011684,0.0011684
44,236.004,0.34687,0.25214,0.21942,0.00241,0.05485,0.96629,0.92458,0.98399,0.9514,0.96629,0.92458,0.98399,0.92571,0.32909,0.19884,0.27989,0.00328,0,0.0011486,0.0011486,0.0011486
45,241.091,0.33769,0.26205,0.22275,0.00236,0.07059,0.95239,0.92742,0.98334,0.93893,0.95239,0.92742,0.98334,0.91514,0.34435,0.23284,0.29319,0.00349,0,0.0011288,0.0011288,0.0011288
46,246.156,0.3668,0.25181,0.23426,0.00259,0.06213,0.93343,0.92742,0.96703,0.92076,0.92515,0.91935,0.96213,0.93119,0.34657,0.2389,0.37505,0.00338,0,0.001109,0.001109,0.001109
47,251.333,0.34843,0.26379,0.22733,0.00254,0.06422,0.97473,0.93311,0.98891,0.94365,0.96631,0.92519,0.98166,0.91778,0.35529,0.23111,0.27684,0.00365,0,0.0010892,0.0010892,0.0010892
48,256.462,0.3649,0.26605,0.2298,0.00232,0.05599,0.95281,0.96774,0.98858,0.94525,0.95281,0.96774,0.98637,0.94349,0.33482,0.24564,0.22542,0.00345,0,0.0010694,0.0010694,0.0010694
49,261.651,0.35008,0.30108,0.23243,0.00206,0.07197,1,0.9405,0.98983,0.95061,0.99143,0.93278,0.98469,0.91809,0.32398,0.21111,0.25138,0.00342,0,0.0010496,0.0010496,0.0010496
