instances_per_image,synthetic_images,synthetic_fraction,real_images,real_fraction
0,5,0.1,117,0.0609375
1,10,0.2,149,0.07760416666666667
2,12,0.24,418,0.21770833333333334
3,11,0.22,368,0.19166666666666668
4,4,0.08,370,0.19270833333333334
5,6,0.12,187,0.09739583333333333
6,1,0.02,165,0.0859375
7,1,0.02,93,0.0484375
8,0,0.0,33,0.0171875
9,0,0.0,8,0.004166666666666667
10,0,0.0,6,0.003125
12,0,0.0,3,0.0015625
16,0,0.0,3,0.0015625
