epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,154.114,0.55518,0.53367,0.40621,0.00485,0.09689,0.96675,0.85525,0.93366,0.8002,0.96675,0.85525,0.93348,0.8381,0.63842,0.70259,0.54095,0.00578,0,0.0014654,0.0014654,0.0014654
29,159.25,0.52942,0.50521,0.36991,0.00409,0.10115,0.93325,0.91176,0.95059,0.84292,0.93314,0.91176,0.95004,0.85259,0.5942,0.63641,0.4344,0.00553,0,0.0014456,0.0014456,0.0014456
30,164.321,0.54779,0.48764,0.37919,0.00398,0.09314,0.95423,0.85839,0.93195,0.82736,0.95423,0.85839,0.93043,0.82569,0.59344,0.7774,0.49088,0.0057,0,0.0014258,0.0014258,0.0014258
31,169.478,0.54918,0.49782,0.40281,0.00449,0.13568,0.93613,0.86223,0.93447,0.80492,0.94252,0.86811,0.94337,0.81112,0.64139,0.73017,0.54262,0.006,0,0.001406,0.001406,0.001406
32,174.642,0.56326,0.49145,0.38187,0.00451,0.088,0.93187,0.88503,0.94741,0.82462,0.93808,0.89123,0.94927,0.84403,0.64069,0.68596,0.52317,0.00648,0,0.0013862,0.0013862,0.0013862
33,179.79,0.51489,0.46572,0.36718,0.00371,0.0839,0.95064,0.90624,0.95693,0.84321,0.94447,0.90036,0.95056,0.86671,0.56638,0.65565,0.46234,0.00542,0,0.0013664,0.0013664,0.0013664
34,184.934,0.52811,0.48291,0.36077,0.00383,0.11696,0.87222,0.84706,0.88699,0.75272,0.87222,0.84706,0.8902,0.77239,0.67959,0.79632,0.77396,0.00719,0,0.0013466,0.0013466,0.0013466
35,190.108,0.54605,0.49859,0.35939,0.00426,0.11605,0.94816,0.89412,0.9543,0.84653,0.94816,0.89412,0.95624,0.86239,0.55812,0.69653,0.43517,0.00562,0,0.0013268,0.0013268,0.0013268
36,195.181,0.4854,0.47565,0.33341,0.00348,0.10535,0.94554,0.84706,0.92293,0.79291,0.94554,0.84706,0.92675,0.81526,0.66275,0.69576,0.54395,0.00596,0,0.001307,0.001307,0.001307
37,200.281,0.55292,0.49201,0.38336,0.00405,0.11906,0.96006,0.88235,0.94635,0.83821,0.95366,0.87647,0.95073,0.85398,0.59233,0.6676,0.45098,0.00555,0,0.0012872,0.0012872,0.0012872
38,205.35,0.49104,0.44252,0.33642,0.00364,0.07767,0.96741,0.86471,0.94382,0.8254,0.97399,0.87059,0.94307,0.83333,0.61171,0.73583,0.4984,0.00561,0,0.0012674,0.0012674,0.0012674
39,210.496,0.51564,0.4256,0.34192,0.00378,0.08265,0.94329,0.89412,0.93221,0.83335,0.94329,0.89412,0.94221,0.83168,0.60373,0.73151,0.47348,0.0054,0,0.0012476,0.0012476,0.0012476
40,215.639,0.47155,0.41993,0.31856,0.00335,0.08222,0.9866,0.90588,0.94513,0.85993,0.9866,0.90588,0.95826,0.87804,0.51876,0.58101,0.37477,0.0044,0,0.0012278,0.0012278,0.0012278
41,220.775,0.45074,0.4273,0.29199,0.00335,0.07048,0.94035,0.91176,0.94586,0.86368,0.94035,0.91176,0.96003,0.86181,0.52363,0.63443,0.40189,0.00466,0,0.001208,0.001208,0.001208
42,225.912,0.51986,0.48977,0.32783,0.00369,0.10135,0.94239,0.91765,0.94629,0.84113,0.94239,0.91765,0.95622,0.85127,0.58095,0.6838,0.41528,0.0052,0,0.0011882,0.0011882,0.0011882
43,231.066,0.47144,0.42365,0.32878,0.00354,0.08808,0.95076,0.89412,0.93904,0.86529,0.95702,0.9,0.95391,0.85931,0.49238,0.56878,0.39506,0.00453,0,0.0011684,0.0011684,0.0011684
